Iteration,E,x1,x2
1,1.73684210526316,-27,-9.5
2,1.69230769230769,39,68
3,1.70103092783505,-271,-97
4,1.69665809768638,389,678
5,1.69753086419753,-2711,-972
6,1.69709436873232,3889,6778
7,1.69718164986628,-27111,-9722
8,1.69713800817712,38889,67778
9,1.6971467363354,-271111,-97222
10,1.69714237224504,388889,677778
11,1.69714324506131,-2711111,-972222
12,1.69714280865306,3888889,6777778
13,1.69714289593469,-27111111,-9722222
14,1.69714285229388,38888889,67777778
15,1.69714286102204,-271111111,-97222222
16,1.69714285665796,388888889,677777778
17,1.69714285753078,-2711111111,-972222222
18,1.69714285709437,3888888889,6777777778
19,1.69714285718165,-27111111111,-9722222222
20,1.69714285713801,38888888889,67777777778
21,1.69714285714674,-271111111111,-97222222222
22,1.69714285714237,388888888889,677777777778
23,1.69714285714324,-2711111111111,-972222222222
24,1.69714285714281,3888888888889,6777777777778
25,1.6971428571429,-27111111111111,-9722222222222
26,1.69714285714285,38888888888889,67777777777778
27,1.69714285714286,-271111111111111,-97222222222222
28,1.69714285714286,388888888888889,677777777777778
29,1.69714285714286,-2.71111111111111e+15,-972222222222222
30,1.69714285714286,3.88888888888889e+15,6.77777777777778e+15
31,1.69714285714286,-2.71111111111111e+16,-9.72222222222222e+15
32,1.69714285714286,3.88888888888889e+16,6.77777777777778e+16
33,1.69714285714286,-2.71111111111111e+17,-9.72222222222222e+16
34,1.69714285714286,3.88888888888889e+17,6.77777777777778e+17
35,1.69714285714286,-2.71111111111111e+18,-9.72222222222222e+17
36,1.69714285714286,3.88888888888889e+18,6.77777777777778e+18
37,1.69714285714286,-2.71111111111111e+19,-9.72222222222222e+18
38,1.69714285714286,3.88888888888889e+19,6.77777777777778e+19
39,1.69714285714286,-2.71111111111111e+20,-9.72222222222222e+19
40,1.69714285714286,3.88888888888889e+20,6.77777777777778e+20
41,1.69714285714286,-2.71111111111111e+21,-9.72222222222222e+20
42,1.69714285714286,3.88888888888889e+21,6.77777777777778e+21
43,1.69714285714286,-2.71111111111111e+22,-9.72222222222222e+21
44,1.69714285714286,3.88888888888889e+22,6.77777777777778e+22
45,1.69714285714286,-2.71111111111111e+23,-9.72222222222222e+22
46,1.69714285714286,3.88888888888889e+23,6.77777777777778e+23
47,1.69714285714286,-2.71111111111111e+24,-9.72222222222222e+23
48,1.69714285714286,3.88888888888889e+24,6.77777777777778e+24
49,1.69714285714286,-2.71111111111111e+25,-9.72222222222222e+24
50,1.69714285714286,3.88888888888889e+25,6.77777777777778e+25
51,1.69714285714286,-2.71111111111111e+26,-9.72222222222222e+25
52,1.69714285714286,3.88888888888889e+26,6.77777777777778e+26
53,1.69714285714286,-2.71111111111111e+27,-9.72222222222222e+26
54,1.69714285714286,3.88888888888889e+27,6.77777777777778e+27
55,1.69714285714286,-2.71111111111111e+28,-9.72222222222222e+27
56,1.69714285714286,3.88888888888889e+28,6.77777777777778e+28
57,1.69714285714286,-2.71111111111111e+29,-9.72222222222222e+28
58,1.69714285714286,3.88888888888889e+29,6.77777777777778e+29
59,1.69714285714286,-2.71111111111111e+30,-9.72222222222222e+29
60,1.69714285714286,3.88888888888889e+30,6.77777777777778e+30
